Port_IDs,ROI,Sharpe_Ratio,PnL,MDD,Win_Rate,Win_Positions,Total_Positions,Normalized_MDD,Profitability_Score,Risk_Adjusted_Score,Trade_Success_Score,Overall_Composite_Score,Profitability_Rank,Risk_Adjusted_Rank,Trade_Success_Rank,Overall_Rank
3733192481840423936,0.10963241745391636,1.0,0.1810488112293427,0.9958079793626823,1.0,0.19115105426892498,0.11118431889309834,0.004192020637317705,0.1106104265525426,0.9999809301087197,0.9884517555954213,0.6407739763322593,115.0,1.0,1.0,2.0
3986814617275053313,0.13517297259220673,0.4922928826679992,0.34007897419373434,0.9999991790331009,0.9745889052500254,0.9609402004839267,0.583099983528249,8.209668991333886e-07,0.13797905006735328,0.4946024857715356,0.9743940374947088,0.4958905770068146,35.0,36.0,2.0,7.0
3886752488982104320,0.1425161739618365,0.4743462426307316,0.2316881362884436,0.9998314549962276,0.9287125903254251,0.3218112685793294,0.20342612419700212,0.00016854500377243555,0.14373733602123734,0.476736723674656,0.9200476290493106,0.4765302402256849,31.0,40.0,3.0,11.0
3956048468100538880,0.1102198663786175,0.8521973590940306,0.162667135760933,1.0,0.8899509170756912,0.0069132388524023505,0.002306045132597595,0.0,0.1109381035219729,0.8528697270370545,0.8773434518865547,0.5634391950858719,101.0,2.0,4.0,5.0
4013955990069013504,0.15486546943570625,0.5528878596250226,0.1664191084996201,0.9729182144415277,0.8213401759827049,0.08157621845834774,0.05666282325811234,0.02708178555847228,0.15502369030810542,0.5547986167261441,0.8107782842620349,0.47168254641969587,29.0,29.0,5.0,12.0
3891020560590657281,0.33534858197483813,0.6238967193044396,0.18024643759397319,1.0,0.8068616781359013,0.09782232976149326,0.06967550650634162,0.0,0.3332245415353568,0.6256076480649528,0.7967384533598708,0.5599936470415898,9.0,16.0,6.0,6.0
3907081197088384000,0.16483831297214926,0.34763527047374926,0.35997967701696665,0.9986607898309745,0.7649662705151458,0.8779813342550985,0.6791302915499917,0.001339210169025533,0.16751066898825265,0.35059684603575014,0.766579829615836,0.4021572702907769,22.0,100.0,7.0,22.0
3826087012661391104,0.28072540177040933,0.42592565243868,0.15269733849011013,0.9997224208045332,0.7267932489451477,0.021776702385067404,0.015483445890298136,0.00027757919546675977,0.27897212630873636,0.42853590723856133,0.716727459242487,0.45516786046780905,13.0,58.0,8.0,15.0
4017110277719148289,0.11844324276787521,0.39613786341477086,0.18076374364911024,1.0,0.7070165618990212,0.049429657794676805,0.03920276725415912,0.0,0.11929668850590078,0.3988848883674857,0.6976279432627152,0.37667252489142056,56.0,76.0,9.0,32.0
4000222729738650369,0.13326017975985296,0.3873823420724599,0.1677658671532765,0.9966329276759127,0.6983978073669149,0.18562046318700312,0.1554933289408664,0.0033670723240872384,0.133732716588459,0.3901538795802974,0.6910766899605393,0.3778622574976346,40.0,80.0,10.0,31.0
3994879592543698688,0.10321187331329397,0.2514496994725525,0.1897604500243252,0.9991350674304614,0.6887920267841566,0.12478396128586243,0.10525448855213308,0.0008649325695385973,0.10439710951778104,0.25485098966467284,0.6807394688610688,0.3224359813648349,144.0,136.0,11.0,72.0
4039279455324236544,0.1772330418570724,0.7278482926140329,0.15869825396829257,1.0,0.6896439216727221,0.06256481161424127,0.05155658046450338,0.0,0.17697921790660331,0.72908633601139,0.6806908744292524,0.49372485029483404,21.0,6.0,12.0,8.0
4032403303704824321,0.10961618842290405,0.7866453350857051,0.17081226879834066,0.9951683065048066,0.6872177036790763,0.04251641894227445,0.034425959479492674,0.004831693495193459,0.11045423582691669,0.7875939254526086,0.678013057937272,0.48386378934773083,123.0,3.0,13.0,10.0
3943533600390906881,0.29951249191282103,0.33251856216384695,0.17437919194628082,0.9999214554846686,0.6828185092014512,0.33321811268579327,0.2874320540273431,7.854451533142037e-05,0.2977988586776672,0.33555463992131973,0.6778271312139934,0.4231340748116608,11.0,109.0,14.0,19.0
4028701921959171840,0.10961547952525959,0.6372852537521738,0.355064230616279,0.9997509298485101,0.67646633027209,0.12893190459730383,0.11085488387415582,0.000249070151489944,0.11297676814714554,0.6389341437825536,0.6686489727778573,0.4374656422269815,75.0,14.0,15.0,17.0
4008804082027254529,0.10961687598145113,0.5387262056476181,0.1858950220408506,0.9901372517020042,0.6734418324291742,0.18216384376080194,0.15829352660187776,0.009862748297995882,0.1106614641625209,0.5407797164281661,0.6664276695083036,0.4064268014459492,111.0,30.0,16.0,21.0
3966142151544441601,0.10859862612087519,0.2632688163974092,0.20428446326906452,0.0,0.6629489440245002,0.3553404770134808,0.3159281831658705,1.0,0.10990899219221271,0.26207118209630026,0.6585571008049355,0.3201520817472558,135.0,134.0,17.0,75.0
3999240873283311617,0.1293695785278925,0.5971352466403881,0.6511447681513155,0.9997088107818308,0.6518959349229366,0.817836156239198,0.7425465326964256,0.00029118921816912905,0.13651500909239034,0.5989665911791491,0.6542651266520277,0.4305755189863092,38.0,20.0,18.0,18.0
4022565861939831809,0.10965943842831494,0.3279518089656779,0.3147085177222296,0.9993992774233816,0.6574275710822978,0.1285862426546837,0.11381979904463844,0.0006007225766184162,0.11246747527549873,0.33100628587115316,0.649877102055718,0.3392520064882608,77.0,114.0,19.0,59.0
4030635536196756737,0.11260386159219833,0.40554942596229904,0.17698975804809222,0.9992304498149216,0.653776925635357,0.2347044590390598,0.21083841212320867,0.0007695501850783913,0.11348559181166426,0.408250136087459,0.6477936684486775,0.3622073780855066,71.0,71.0,20.0,40.0
