Port_IDs,ROI,Sharpe_Ratio,PnL,MDD,Win_Rate,Win_Positions,Total_Positions,Normalized_MDD,Profitability_Score,Risk_Adjusted_Score,Trade_Success_Score,Overall_Composite_Score,Profitability_Rank,Risk_Adjusted_Rank,Trade_Success_Rank,Overall_Rank
3672754654734989568,0.11294906775905234,0.29110271860507353,0.15309973898201193,0.9974596043705187,0.5519948726165679,0.07258900795022467,0.07577005435677812,0.002540395629481275,0.11382270940649591,0.29555420591584286,0.54491773325452,0.29767066551370724,75.0,127.0,48.0,90.0
3733192481840423936,0.10963241745391636,1.0,0.1810488112293427,0.9958079793626823,1.0,0.19115105426892498,0.11118431889309834,0.004192020637317705,0.11118637244425697,0.9999735817303553,0.9880595188050768,0.6408844791383324,115.0,1.0,1.0,2.0
3768170840939476993,1.0,0.7339113528590988,0.1492710982760538,1.0,0.5339705502454146,0.002073971655720705,0.0,0.0,0.9814889221875581,0.7355882533893512,0.5261185265420841,0.7711076028544539,1.0,5.0,58.0,1.0
3784403294629753856,0.12603871954681212,0.31527918563221363,0.1762807712841654,0.9990227169814577,0.3766625319444653,0.6322156930521949,0.9942348871685059,0.0009772830185422992,0.1271319403452148,0.31958816274414975,0.38043508766159245,0.26085975125980854,45.0,122.0,106.0,114.0
3786761687746711808,0.10986106646634217,0.42343693937720694,0.14881289384914814,0.9872191358764977,0.5621885061526927,0.012789491876944349,0.011200790644045461,0.012780864123502293,0.11070862237535006,0.426989915704513,0.5540781060179188,0.33860385546686955,130.0,61.0,44.0,60.0
3788465932399412480,0.11025605693162296,0.4494699009366746,0.311903264186015,0.9987635864474578,0.5557771025308796,0.4732111994469409,0.5032119914346895,0.0012364135525422652,0.11464371454685571,0.4529315701299851,0.554558238837827,0.3481044285090859,71.0,49.0,43.0,52.0
3818233536529843712,0.1594591726359722,0.4717819068970265,0.22249297986035288,0.9948619971935526,0.42261708574431833,0.16660905634289663,0.2317575358260583,0.005138002806447388,0.16083073025906516,0.47507837704037026,0.41883781511912876,0.3325071497514758,26.0,43.0,91.0,66.0
3819545518395756033,0.10961547581501696,0.5965609462240626,0.15800178299219378,1.0,0.47638549090522286,0.008987210508123056,0.008894745511447866,0.0,0.11066831731998805,0.599103434114736,0.4694856112588735,0.3648440405400781,132.0,21.0,74.0,39.0
3826087012661391104,0.28072540177040933,0.42592565243868,0.15269733849011013,0.9997224208045332,0.7267932489451477,0.021776702385067404,0.015483445890298136,0.00027757919546675977,0.27793962896222646,0.42954174096958336,0.7163855741119914,0.454954046109363,13.0,58.0,8.0,15.0
3858510226868015873,0.10961550739122503,0.34553321875603504,0.14305094886765016,0.9655131994077468,0.30397721083248,0.08399585205668855,0.16175259430077416,0.034486800592253126,0.11034303182069868,0.34944035560486947,0.30072977719043964,0.2391882525668722,136.0,102.0,120.0,125.0
3865845304835489536,0.15403381190239065,0.3299359483276693,0.163052470864538,0.9999936951289929,0.6370918469859312,0.155893536121673,0.14297479822105089,6.3048710070175115e-06,0.15423004961980438,0.33415867711743186,0.6299882469723216,0.3509360970748478,30.0,113.0,23.0,50.0
3878631538480067329,0.15670091046526377,0.33364754323777157,0.1928722682004781,0.9983990331108612,0.6271763666762519,0.48911164880746627,0.4607148739911052,0.001600966889138772,0.15748796591413988,0.33783683179942886,0.6251382121158789,0.3518876995402483,28.0,108.0,24.0,48.0
3879821005658659073,0.4373017062589648,0.3259879207863685,0.19698361217085156,0.7652095524548221,0.41292906083580805,0.09989630141721396,0.14132762312633831,0.23479044754517783,0.43207260574246875,0.328755911811003,0.40830797330523794,0.39394820783185974,5.0,118.0,98.0,26.0
3880920727367689984,0.10961551632339238,0.5054886677608041,0.14428570239056954,0.9554305730241748,0.4210388476647753,0.01693743518838576,0.021577993740734637,0.04456942697582522,0.1103699076585884,0.5083242183475204,0.41507337618585155,0.3211672414234469,135.0,32.0,92.0,73.0
